brand,product_name,part_number,ptc_number,category,application,alternate_part_numbers,measurements,file_path,url
Scania,"Scania Brake Shoe 10""-254mm 1104545",1104545,PTC Number: PTS04545,Braking System Components,P410,—,—,scania/braking/1104545.html,https://partstrading.com/scania/braking/1104545.html
Scania,Scania Brake Hose 1123479,1123479,PTC Number: PTS23479,Braking System Components,Scania trucks (reference OEM part list),—,—,scania/braking/1123479.html,https://partstrading.com/scania/braking/1123479.html
Scania,Scania Vibration Insulator 1343100,1343100,PTC Number: PTS43100,Braking System Components,P440,—,—,scania/braking/1343100.html,https://partstrading.com/scania/braking/1343100.html
Scania,Scania Brake Chamber Type 30/30 1446057,1446057,PTC Number: PTS46057,Braking System Components,P410,—,—,scania/braking/1446057.html,https://partstrading.com/scania/braking/1446057.html
Scania,Scania Brake Chamber 1446058,1446058,PTC Number: PTS46058,Braking System Components,P410,1.18865,—,scania/braking/1446058.html,https://partstrading.com/scania/braking/1446058.html
Scania,Scania Spring Brake Chamber 1446066,1446066,PTC Number: PTS46066,Braking System Components,P440Ht,—,—,scania/braking/1446066.html,https://partstrading.com/scania/braking/1446066.html
Scania,Scania Torque Rod Bush 1498131,1498131,PTC Number: PTS98131,Braking System Components,P410,—,—,scania/braking/1498131.html,https://partstrading.com/scania/braking/1498131.html
Scania,Scania Brake Lining Rear 10Std 1535250,1535250,PTC Number: PTS35250,Braking System Components,P410,—,—,scania/braking/1535250.html,https://partstrading.com/scania/braking/1535250.html
Scania,Scania Brake Lining Front 1535253,1535253,PTC Number: PTS35253,Braking System Components,P410,—,—,scania/braking/1535253.html,https://partstrading.com/scania/braking/1535253.html
Scania,Scania Brake Lining Rear 1535254,1535254,PTC Number: PTS35254,Braking System Components,P410,—,—,scania/braking/1535254.html,https://partstrading.com/scania/braking/1535254.html
Scania,Scania Link 1781929,1781929,PTC Number: PTS81929,Braking System Components,P410,—,—,scania/braking/1781929.html,https://partstrading.com/scania/braking/1781929.html
Scania,Scania Brake Slack Adjuster Rear Rh 1789564,1789564,PTC Number: PTS89564,Braking System Components,P410,—,—,scania/braking/1789564.html,https://partstrading.com/scania/braking/1789564.html
Scania,Scania Brake Slack Adjuster Front Rh 1789567,1789567,PTC Number: PTS89567,Braking System Components,P410,1358634,—,scania/braking/1789567.html,https://partstrading.com/scania/braking/1789567.html
Scania,Scania Brake Slack Adjuster Front Lh 1789568,1789568,PTC Number: PTS89568,Braking System Components,P410,1358635,—,scania/braking/1789568.html,https://partstrading.com/scania/braking/1789568.html
Scania,Scania Brake Slack Adjuster 1865748,1865748,PTC Number: PTS65748,Braking System Components,P410,—,—,scania/braking/1865748.html,https://partstrading.com/scania/braking/1865748.html
Scania,Scania Brake Camshaft Lh 2076771,2076771,PTC Number: PTS76771,Braking System Components,P410,—,—,scania/braking/2076771.html,https://partstrading.com/scania/braking/2076771.html
Scania,Scania Brake Drum 2378716,2378716,PTC Number: PTS78716,Braking System Components,G440,—,—,scania/braking/2378716.html,https://partstrading.com/scania/braking/2378716.html
Scania,Scania 1St Axle-Rear Spring Bracket Lh 2414195,2414195,PTC Number: PTS14195,Braking System Components,P410,—,—,scania/braking/2414195.html,https://partstrading.com/scania/braking/2414195.html
Scania,Scania Spring brake chamber 2530934,2530934,PTC Number: PTS30934,Braking System Components,G440,—,—,scania/braking/2530934.html,https://partstrading.com/scania/braking/2530934.html
Scania,Scania Shock Absorber 2537499,2537499,PTC Number: PTS37499,Braking System Components,G440,—,—,scania/braking/2537499.html,https://partstrading.com/scania/braking/2537499.html
Scania,Scania Brake Chamber Lh 2557792,2557792,PTC Number: PTS57792,Braking System Components,P440Ht,—,—,scania/braking/2557792.html,https://partstrading.com/scania/braking/2557792.html
Scania,Scania Brake Booster 4Th 2557803,2557803,PTC Number: PTS57803,Braking System Components,P440,—,—,scania/braking/2557803.html,https://partstrading.com/scania/braking/2557803.html
Scania,Scania Brake Lining Std Front & Rear 2162278 2608085,2608085,PTC Number: PTS08085,Braking System Components,G440,—,—,scania/braking/2608085.html,https://partstrading.com/scania/braking/2608085.html
Scania,Scania Shim 1104069,1104069,PTC Number: PTS04069,Engine Components,P410,—,—,scania/engine/1104069.html,https://partstrading.com/scania/engine/1104069.html
Scania,Scania O-Ring 1107097,1107097,PTC Number: PTS07097,Engine Components,P410,—,—,scania/engine/1107097.html,https://partstrading.com/scania/engine/1107097.html
Scania,Scania Space Ring 1302733,1302733,PTC Number: PTS02733,Engine Components,G-440,—,—,scania/engine/1302733.html,https://partstrading.com/scania/engine/1302733.html
Scania,Scania Silencer Air Dryer 1313854,1313854,PTC Number: PTS13854,Engine Components,P410,—,—,scania/engine/1313854.html,https://partstrading.com/scania/engine/1313854.html
Scania,Scania Ring 1321727,1321727,PTC Number: PTS21727,Engine Components,P440,—,—,scania/engine/1321727.html,https://partstrading.com/scania/engine/1321727.html
Scania,Scania O-Ring Rt302 1338019,1338019,PTC Number: PTS38019,Engine Components,P410,—,—,scania/engine/1338019.html,https://partstrading.com/scania/engine/1338019.html
Scania,Scania Sealing ring 1343372,1343372,PTC Number: PTS43372,Engine Components,P410,—,—,scania/engine/1343372.html,https://partstrading.com/scania/engine/1343372.html
Scania,Scania Slide Ring 1343373,1343373,PTC Number: PTS43373,Engine Components,P410,—,—,scania/engine/1343373.html,https://partstrading.com/scania/engine/1343373.html
Scania,Scania Seal 1345205,1345205,PTC Number: PTS45205,Engine Components,P410,—,—,scania/engine/1345205.html,https://partstrading.com/scania/engine/1345205.html
