brand,category,sku,title,ptc_number,application,canonical_url,file_path
Scania,misc,1100799,Scania Sensor 1100799,PTS00799,P410,https://partstrading.com/scania/misc/1100799.html,scania/misc/1100799.html
Scania,misc,1363870,Scania Block Circuit 1363870,PTS63870,P410,https://partstrading.com/scania/misc/1363870.html,scania/misc/1363870.html
Scania,misc,1363871,Scania Block Circuit 1363871,PTS63871,P410,https://partstrading.com/scania/misc/1363871.html,scania/misc/1363871.html
Scania,misc,1381251,Scania Rotational Speed Sensor 1381251,PTS81251,G440,https://partstrading.com/scania/misc/1381251.html,scania/misc/1381251.html
Scania,misc,1421851,Scania Switch Power Take-Off 1421851,PTS21851,P410,https://partstrading.com/scania/misc/1421851.html,scania/misc/1421851.html
Scania,misc,1421862,Scania Switch A/C 1421862,PTS21862,P410,https://partstrading.com/scania/misc/1421862.html,scania/misc/1421862.html
Scania,misc,1422594,Scania Temparature Sensor Rt11 Rj1 1422594,PTS22594,P410,https://partstrading.com/scania/misc/1422594.html,scania/misc/1422594.html
Scania,misc,1437233,Scania Dash Board Fuse Cover 1437233,PTS37233,-,https://partstrading.com/scania/misc/1437233.html,scania/misc/1437233.html
Scania,misc,1443299,Scania Contact Housing 1443299,PTS43299,-,https://partstrading.com/scania/misc/1443299.html,scania/misc/1443299.html
Scania,misc,1457303,Scania Rotational Speed Sensor 1457303,PTS57303,P410,https://partstrading.com/scania/misc/1457303.html,scania/misc/1457303.html
Scania,misc,1457304,Scania Rotational Speed Sensor 1457304,PTS57304,P410,https://partstrading.com/scania/misc/1457304.html,scania/misc/1457304.html
Scania,misc,1467007,Scania Cable Harness 1467007,PTS67007,P410,https://partstrading.com/scania/misc/1467007.html,scania/misc/1467007.html
Scania,misc,14700506,Scania Tp Knock Off Cyl Assembly With Sup 14700506,PTS700506,P410,https://partstrading.com/scania/misc/14700506.html,scania/misc/14700506.html
Scania,misc,1472739,Scania Switch 1472739,PTS72739,P410,https://partstrading.com/scania/misc/1472739.html,scania/misc/1472739.html
Scania,misc,1647577,Scania Switch 1647577,PTS47577,-,https://partstrading.com/scania/misc/1647577.html,scania/misc/1647577.html
Scania,misc,1721485,Scania Pressure Switch 1721485,PTS21485,P410,https://partstrading.com/scania/misc/1721485.html,scania/misc/1721485.html
Scania,misc,1732515,Scania Cable Harness 1732515,PTS32515,P410,https://partstrading.com/scania/misc/1732515.html,scania/misc/1732515.html
Scania,misc,1740438,Scania Pulse Wheel 1740438,PTS40438,P410,https://partstrading.com/scania/misc/1740438.html,scania/misc/1740438.html
Scania,misc,1771230,Scania Rotational Speed Sensor 1771230,PTS71230,P410,https://partstrading.com/scania/misc/1771230.html,scania/misc/1771230.html
Scania,misc,1777165,Scania Pressure Sensor 1777165,PTS77165,P410,https://partstrading.com/scania/misc/1777165.html,scania/misc/1777165.html
Scania,misc,1783287,Scania Position Sensor 1783287,PTS83287,P410,https://partstrading.com/scania/misc/1783287.html,scania/misc/1783287.html
Scania,misc,1783288,Scania Position Sensor 1783288,PTS83288,-,https://partstrading.com/scania/misc/1783288.html,scania/misc/1783288.html
Scania,misc,1786676,Scania Switch 1786676,PTS86676,P410,https://partstrading.com/scania/misc/1786676.html,scania/misc/1786676.html
Scania,misc,1790708,Scania Pulse Wheel 1790708,PTS90708,P410,https://partstrading.com/scania/misc/1790708.html,scania/misc/1790708.html
Scania,misc,1848281,Scania Cable Harnes 1848281,PTS48281,P410,https://partstrading.com/scania/misc/1848281.html,scania/misc/1848281.html
Scania,misc,1849590,Scania Cable Harness 1849590,PTS49590,P410,https://partstrading.com/scania/misc/1849590.html,scania/misc/1849590.html
